대여소명,대여소_ID_num,지하철역_수_1km,학교_수_1km,위도,경도,경度
사근동_006_1,1137,6.0,14.0,37.554539,127.043777,127.043777
사근동_006_2,1138,6.0,10.0,37.55658,127.043358,127.043358
왕십리2동_004_1,1139,7.0,13.0,37.564262,127.029327,127.029327
충현동_005_1,1140,8.0,26.0,37.559967,126.962463,126.962463
성수1가2동_019_2,1141,3.0,9.0,37.546959,127.047668,127.047668
송정동_015_1,1142,4.0,4.0,37.555141,127.071106,127.071106
금호4가동_019_1,1143,3.0,4.0,37.544041,127.023201,127.023201
용답동_017_1,1144,3.0,6.0,37.559799,127.056328,127.056328
성수1가1동_008_3,1145,2.0,8.0,37.541958,127.04277,127.04277
마장동_014_1,1146,9.0,10.0,37.565979,127.043114,127.043114
왕십리도선동_017_1,1147,6.0,7.0,37.566818,127.029152,127.029152
"금호2,3가동_041_1",1148,7.0,14.0,37.556107,127.019783,127.019783
행당1동_023_1,1149,7.0,12.0,37.55653,127.039131,127.039131
마장동_007_2,1150,5.0,8.0,37.571526,127.035355,127.035355
마장동_017_1,1151,8.0,12.0,37.563396,127.04187,127.04187
성수1가1동_029_2,1152,2.0,8.0,37.545097,127.044266,127.044266
용답동_019_1,1153,3.0,6.0,37.563709,127.05645,127.05645
행당1동_004_1,1154,8.0,13.0,37.559269,127.038399,127.038399
왕십리도선동_037_1,1155,6.0,7.0,37.566994,127.029915,127.029915
노량진1동_019_1,1156,2.0,6.0,37.511936,126.954163,126.954163
흑석동_038_1,1157,2.0,9.0,37.510838,126.961632,126.961632
흑석동_021_1,1158,3.0,10.0,37.506672,126.957779,126.957779
대방동_033_1,1159,6.0,15.0,37.512135,126.925438,126.925438
사당1동_034_1,1160,5.0,10.0,37.484608,126.981796,126.981796
흑석동_024_1,1161,1.0,9.0,37.504704,126.960732,126.960732
상도2동_023_1,1162,2.0,8.0,37.504688,126.946648,126.946648
대방동_018_1,1163,5.0,16.0,37.502743,126.921577,126.921577
사당3동_019_1,1164,3.0,14.0,37.487122,126.974358,126.974358
왕십리2동_004_2,1165,7.0,13.0,37.563858,127.030319,127.030319
상도1동_049_1,1166,2.0,10.0,37.500248,126.94973,126.94973
사당1동_026_1,1167,4.0,8.0,37.479107,126.981506,126.981506
사당1동_032_1,1168,5.0,10.0,37.48378,126.977921,126.977921
사당1동_044_1,1169,5.0,11.0,37.484703,126.980591,126.980591
흑석동_058_1,1170,1.0,6.0,37.503113,126.964714,126.964714
상도1동_080_1,1171,2.0,12.0,37.503212,126.954597,126.954597
상도1동_066_2,1172,1.0,8.0,37.495506,126.956375,126.956375
사당2동_004_1,1173,2.0,10.0,37.491501,126.982407,126.982407
상도2동_016_1,1174,2.0,7.0,37.502514,126.940651,126.940651
행당1동_007_1,1175,8.0,12.0,37.561447,127.03492,127.03492
행운동_002_1,1176,2.0,11.0,37.478821,126.95961,126.95961
중앙동_009_1,1177,2.0,10.0,37.486736,126.947517,126.947517
은천동_066_1,1178,2.0,9.0,37.482754,126.941406,126.941406
은천동_067_1,1179,4.0,10.0,37.483688,126.939156,126.939156
대학동_014_1,1180,3.0,12.0,37.470688,126.936485,126.936485
서원동_023_1,1181,5.0,8.0,37.484646,126.934509,126.934509
"금호2,3가동_016_1",1182,7.0,11.0,37.548641,127.016426,127.016426
청룡동_006_1,1183,4.0,9.0,37.483311,126.939026,126.939026
낙성대동_014_1,1184,2.0,13.0,37.479465,126.956932,126.956932
